client_id,client_description,invoice_number,amount,invoice_date
202122422,CKE Restaurants Inc.,56510,5.54,8/15/2007 0:00
241329118,A.G. Edwards Inc.,56564,0,8/31/2007 0:00
202122422,CKE Restaurants Inc.,56595,7.12,9/13/2007 0:00
190780901,Bria Sloan,56615,825,9/18/2007 0:00
357932008,Newell Rubbermaid Inc,56616,88.23,9/18/2007 0:00
241329118,A.G. Edwards Inc.,56660,0,9/30/2007 0:00
316784547,Dollar General Corporation,56684,967.4,10/3/2007 0:00
202122422,CKE Restaurants Inc.,56771,3.26,10/19/2007 0:00
241329118,A.G. Edwards Inc.,56806,0,10/31/2007 0:00
202122422,CKE Restaurants Inc.,56844,6.43,11/16/2007 0:00
241329118,A.G. Edwards Inc.,56877,0,11/30/2007 0:00
241329118,A.G. Edwards Inc.,57001,100,12/13/2007 0:00
202122422,CKE Restaurants Inc.,57006,4.48,12/13/2007 0:00
324609387,"DST Systems, Inc.",57008,60,12/13/2007 0:00
241329118,A.G. Edwards Inc.,57055,0,12/31/2007 0:00
636873054,Puget Energy Inc.,57063,125,1/3/2008 0:00
202122422,CKE Restaurants Inc.,57117,8.05,1/16/2008 0:00
544462001,First American Financial Corp.,57152,175.9,1/24/2008 0:00
316784547,Dollar General Corporation,57218,383.78,1/31/2008 0:00
241329118,A.G. Edwards Inc.,57219,0,1/31/2008 0:00
544462001,First American Financial Corp.,57237,1150,2/5/2008 0:00
202122422,CKE Restaurants Inc.,57294,2.77,2/18/2008 0:00
316784547,Dollar General Corporation,57374,55,2/28/2008 0:00
241329118,A.G. Edwards Inc.,57385,0,2/29/2008 0:00
202122422,CKE Restaurants Inc.,57467,195,3/13/2008 0:00
241329118,A.G. Edwards Inc.,57622,0,3/31/2008 0:00
241329118,A.G. Edwards Inc.,57769,100,4/10/2008 0:00
249118182,Cristina Wall,57796,425,4/11/2008 0:00
544462001,First American Financial Corp.,57803,113.5,4/12/2008 0:00
202122422,CKE Restaurants Inc.,57886,50,4/23/2008 0:00
241329118,A.G. Edwards Inc.,57903,50,4/24/2008 0:00
241329118,A.G. Edwards Inc.,57959,0,4/30/2008 0:00
316784547,Dollar General Corporation,57983,65,5/8/2008 0:00
202122422,CKE Restaurants Inc.,57985,895,5/9/2008 0:00
451622814,Black Hills Corporation,57986,432.73,5/9/2008 0:00
571749104,Shopko Stores Inc,57988,615,5/9/2008 0:00
202122422,CKE Restaurants Inc.,57989,1.53,5/9/2008 0:00
447838374,Banta Corporation,57993,1293.24,5/12/2008 0:00
378542239,Cox Communications Inc.,58014,1825,5/22/2008 0:00
241329118,A.G. Edwards Inc.,58037,0,5/31/2008 0:00
447838374,Banta Corporation,58039,0,5/31/2008 0:00
378542239,Cox Communications Inc.,58042,0,5/31/2008 0:00
241329118,A.G. Edwards Inc.,58125,0,6/30/2008 0:00
447838374,Banta Corporation,58127,0,6/30/2008 0:00
378542239,Cox Communications Inc.,58130,0,6/30/2008 0:00
241329118,A.G. Edwards Inc.,58165,137.75,7/9/2008 0:00
544462001,First American Financial Corp.,58189,101.18,7/21/2008 0:00
316784547,Dollar General Corporation,58216,65,7/30/2008 0:00
241329118,A.G. Edwards Inc.,58227,0,7/31/2008 0:00
447838374,Banta Corporation,58229,0,7/31/2008 0:00
378542239,Cox Communications Inc.,58231,0,7/31/2008 0:00
260664066,CellStar Corp.,58283,685,8/22/2008 0:00
241329118,A.G. Edwards Inc.,58284,985,8/22/2008 0:00
357932008,Newell Rubbermaid Inc,58289,145,8/22/2008 0:00
241329118,A.G. Edwards Inc.,58303,0,8/31/2008 0:00
447838374,Banta Corporation,58305,0,8/31/2008 0:00
378542239,Cox Communications Inc.,58307,0,8/31/2008 0:00
241329118,A.G. Edwards Inc.,58361,84.17,9/23/2008 0:00
463821008,Eastman Kodak Company,58366,75.39,9/23/2008 0:00
241329118,A.G. Edwards Inc.,58386,0,9/30/2008 0:00
447838374,Banta Corporation,58388,0,9/30/2008 0:00
378542239,Cox Communications Inc.,58390,0,9/30/2008 0:00
636873054,Puget Energy Inc.,58454,125,10/14/2008 0:00
475283133,Safeco Corp,58455,365,10/14/2008 0:00
36436090,Damian Reyes,58456,255,10/14/2008 0:00
316784547,Dollar General Corporation,58470,1350.99,10/15/2008 0:00
316784547,Dollar General Corporation,58514,65,10/31/2008 0:00
241329118,A.G. Edwards Inc.,58518,0,10/31/2008 0:00
447838374,Banta Corporation,58520,0,10/31/2008 0:00
378542239,Cox Communications Inc.,58522,0,10/31/2008 0:00
241329118,A.G. Edwards Inc.,58560,0,11/30/2008 0:00
447838374,Banta Corporation,58562,0,11/30/2008 0:00
378542239,Cox Communications Inc.,58564,0,11/30/2008 0:00
241329118,A.G. Edwards Inc.,58617,0,12/31/2008 0:00
447838374,Banta Corporation,58619,0,12/31/2008 0:00
378542239,Cox Communications Inc.,58621,0,12/31/2008 0:00
544462001,First American Financial Corp.,58665,54.22,1/14/2009 0:00
463821008,Eastman Kodak Company,58709,50,1/23/2009 0:00
316784547,Dollar General Corporation,58763,90,1/30/2009 0:00
241329118,A.G. Edwards Inc.,58772,0,1/31/2009 0:00
447838374,Banta Corporation,58774,0,1/31/2009 0:00
378542239,Cox Communications Inc.,58776,0,1/31/2009 0:00
81758890,Philip Morris Companies Inc.,58783,75,2/7/2009 0:00
544462001,First American Financial Corp.,58822,1042.4,2/13/2009 0:00
561426470,"Dollar Tree Stores, Inc.",58854,3685,2/26/2009 0:00
241329118,A.G. Edwards Inc.,58862,0,2/28/2009 0:00
447838374,Banta Corporation,58864,0,2/28/2009 0:00
378542239,Cox Communications Inc.,58866,0,2/28/2009 0:00
333035009,Ecolab Inc.,58871,641.73,3/1/2009 0:00
561426470,"Dollar Tree Stores, Inc.",58882,312.5,3/4/2009 0:00
463821008,Eastman Kodak Company,58904,2200.21,3/10/2009 0:00
561426470,"Dollar Tree Stores, Inc.",59012,672.68,3/30/2009 0:00
241329118,A.G. Edwards Inc.,59037,0,3/31/2009 0:00
447838374,Banta Corporation,59039,0,3/31/2009 0:00
378542239,Cox Communications Inc.,59041,0,3/31/2009 0:00
463821008,Eastman Kodak Company,59064,565,4/2/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59109,875,4/6/2009 0:00
114967358,Equity Residential Properties Trust,59188,135,4/9/2009 0:00
241329118,A.G. Edwards Inc.,59271,200,4/17/2009 0:00
241329118,A.G. Edwards Inc.,59280,50,4/21/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59311,50,4/24/2009 0:00
561426470,"Dollar Tree Stores, Inc.",59327,50,4/27/2009 0:00
316784547,Dollar General Corporation,59334,65,4/28/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59355,25,4/30/2009 0:00
241329118,A.G. Edwards Inc.,59359,0,4/30/2009 0:00
447838374,Banta Corporation,59361,0,4/30/2009 0:00
378542239,Cox Communications Inc.,59363,0,4/30/2009 0:00
45005285,Smith International Inc,59374,5045,5/5/2009 0:00
561426470,"Dollar Tree Stores, Inc.",59377,615,5/6/2009 0:00
86720938,Aurora Thomas,59397,595,5/14/2009 0:00
86720938,Aurora Thomas,59398,595,5/14/2009 0:00
324609387,"DST Systems, Inc.",59427,120,5/31/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59428,25,5/31/2009 0:00
241329118,A.G. Edwards Inc.,59433,0,5/31/2009 0:00
447838374,Banta Corporation,59435,0,5/31/2009 0:00
378542239,Cox Communications Inc.,59437,0,5/31/2009 0:00
357932008,Newell Rubbermaid Inc,59441,170,6/1/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59491,50,6/26/2009 0:00
241329118,A.G. Edwards Inc.,59504,0,6/30/2009 0:00
447838374,Banta Corporation,59506,0,6/30/2009 0:00
378542239,Cox Communications Inc.,59508,0,6/30/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59515,675,7/2/2009 0:00
241329118,A.G. Edwards Inc.,59557,300,7/17/2009 0:00
561426470,"Dollar Tree Stores, Inc.",59569,395,7/22/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59581,215,7/24/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59598,75,7/31/2009 0:00
241329118,A.G. Edwards Inc.,59601,0,7/31/2009 0:00
447838374,Banta Corporation,59603,0,7/31/2009 0:00
378542239,Cox Communications Inc.,59605,0,7/31/2009 0:00
241329118,A.G. Edwards Inc.,59651,100,8/24/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59662,25,8/31/2009 0:00
357932008,Newell Rubbermaid Inc,59667,170,8/31/2009 0:00
241329118,A.G. Edwards Inc.,59669,0,8/31/2009 0:00
447838374,Banta Corporation,59671,0,8/31/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59672,0,8/31/2009 0:00
378542239,Cox Communications Inc.,59674,0,8/31/2009 0:00
463821008,Eastman Kodak Company,59694,1627.26,9/8/2009 0:00
46136054,DTE Energy Co.,59696,3462.58,9/8/2009 0:00
260664066,CellStar Corp.,59709,695,9/14/2009 0:00
241329118,A.G. Edwards Inc.,59741,985,9/23/2009 0:00
241329118,A.G. Edwards Inc.,59759,0,9/30/2009 0:00
447838374,Banta Corporation,59761,0,9/30/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59762,0,9/30/2009 0:00
378542239,Cox Communications Inc.,59764,0,9/30/2009 0:00
316784547,Dollar General Corporation,59768,710.01,10/1/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59776,25,10/1/2009 0:00
636873054,Puget Energy Inc.,59781,73.73,10/2/2009 0:00
561426470,"Dollar Tree Stores, Inc.",59807,200,10/9/2009 0:00
424707325,Hovnanian Enterprises Inc.,59827,473.19,10/13/2009 0:00
475283133,Safeco Corp,59837,190.62,10/15/2009 0:00
36436090,Damian Reyes,59838,255,10/15/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59884,50,10/31/2009 0:00
241329118,A.G. Edwards Inc.,59891,0,10/31/2009 0:00
447838374,Banta Corporation,59893,0,10/31/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59894,0,10/31/2009 0:00
378542239,Cox Communications Inc.,59896,0,10/31/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59906,215,11/5/2009 0:00
241329118,A.G. Edwards Inc.,59918,985,11/13/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",59933,50,11/30/2009 0:00
241329118,A.G. Edwards Inc.,59942,0,11/30/2009 0:00
447838374,Banta Corporation,59944,0,11/30/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",59945,0,11/30/2009 0:00
378542239,Cox Communications Inc.,59947,0,11/30/2009 0:00
190023130,Pentair Inc,60040,225,12/31/2009 0:00
241329118,A.G. Edwards Inc.,60047,0,12/31/2009 0:00
447838374,Banta Corporation,60049,0,12/31/2009 0:00
518748951,"BJ's Wholesale Club, Inc.",60050,0,12/31/2009 0:00
378542239,Cox Communications Inc.,60052,0,12/31/2009 0:00
109121390,"D&K Healthcare Resources, Inc.",60081,95,1/13/2010 0:00
241329118,A.G. Edwards Inc.,60094,400,1/19/2010 0:00
463821008,Eastman Kodak Company,60114,100,1/22/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60121,295,1/25/2010 0:00
463821008,Eastman Kodak Company,60129,450,1/25/2010 0:00
316784547,Dollar General Corporation,60134,75,1/25/2010 0:00
401528760,Weyerhauser Company,60178,145,1/29/2010 0:00
241329118,A.G. Edwards Inc.,60180,0,1/31/2010 0:00
447838374,Banta Corporation,60182,0,1/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60183,0,1/31/2010 0:00
378542239,Cox Communications Inc.,60185,0,1/31/2010 0:00
686309694,Praxair Inc,60227,73.73,2/10/2010 0:00
81758890,Philip Morris Companies Inc.,60234,75,2/10/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60277,35,2/19/2010 0:00
241329118,A.G. Edwards Inc.,60335,0,2/28/2010 0:00
447838374,Banta Corporation,60337,0,2/28/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60338,0,2/28/2010 0:00
378542239,Cox Communications Inc.,60340,0,2/28/2010 0:00
216075826,"Analog Devices, Inc.",60354,1125,3/2/2010 0:00
320105871,"AutoZone, Inc.",60369,1445,3/3/2010 0:00
561426470,"Dollar Tree Stores, Inc.",60389,395,3/5/2010 0:00
333035009,Ecolab Inc.,60393,370.93,3/5/2010 0:00
241329118,A.G. Edwards Inc.,60398,100,3/8/2010 0:00
544462001,First American Financial Corp.,60403,460.42,3/8/2010 0:00
241329118,A.G. Edwards Inc.,60435,100,3/11/2010 0:00
463821008,Eastman Kodak Company,60485,195,3/18/2010 0:00
120540968,Orlando Bowers,60530,105.84,3/23/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",60605,25,3/31/2010 0:00
241329118,A.G. Edwards Inc.,60606,0,3/31/2010 0:00
447838374,Banta Corporation,60608,0,3/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60609,0,3/31/2010 0:00
378542239,Cox Communications Inc.,60611,0,3/31/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",60631,875,4/2/2010 0:00
263350773,Braiden Dominguez,60651,100,4/5/2010 0:00
241329118,A.G. Edwards Inc.,60741,100,4/12/2010 0:00
561426470,"Dollar Tree Stores, Inc.",60779,150,4/14/2010 0:00
463821008,Eastman Kodak Company,60799,225,4/20/2010 0:00
320105871,"AutoZone, Inc.",60815,14.21,4/22/2010 0:00
561426470,"Dollar Tree Stores, Inc.",60844,7.19,4/23/2010 0:00
241329118,A.G. Edwards Inc.,60846,36.49,4/23/2010 0:00
216075826,"Analog Devices, Inc.",60880,375,4/27/2010 0:00
241329118,A.G. Edwards Inc.,60883,100,4/27/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",60891,75,4/30/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60897,150,4/30/2010 0:00
241329118,A.G. Edwards Inc.,60898,0,4/30/2010 0:00
447838374,Banta Corporation,60900,0,4/30/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60901,0,4/30/2010 0:00
378542239,Cox Communications Inc.,60903,0,4/30/2010 0:00
86720938,Aurora Thomas,60908,655,5/4/2010 0:00
321400041,Yusuf Cervantes,60915,500,5/10/2010 0:00
45005285,Smith International Inc,60929,341.48,5/18/2010 0:00
561426470,"Dollar Tree Stores, Inc.",60931,3565,5/18/2010 0:00
463821008,Eastman Kodak Company,60937,1002.62,5/20/2010 0:00
484516354,Apache Corporation,60962,737.84,5/28/2010 0:00
241329118,A.G. Edwards Inc.,60966,0,5/31/2010 0:00
447838374,Banta Corporation,60968,0,5/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",60969,0,5/31/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",60976,50,6/1/2010 0:00
241329118,A.G. Edwards Inc.,60987,100,6/9/2010 0:00
555339793,Coventry Health Care Inc.,61003,1075,6/18/2010 0:00
484516354,Apache Corporation,61011,155,6/23/2010 0:00
241329118,A.G. Edwards Inc.,61031,0,6/30/2010 0:00
447838374,Banta Corporation,61033,0,6/30/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61034,0,6/30/2010 0:00
152464363,Premcor Inc.,61089,54.61,7/19/2010 0:00
484516354,Apache Corporation,61098,155,7/20/2010 0:00
463821008,Eastman Kodak Company,61118,225,7/26/2010 0:00
241329118,A.G. Edwards Inc.,61121,100,7/27/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",61123,125,7/27/2010 0:00
46136054,DTE Energy Co.,61124,795,7/27/2010 0:00
424707325,Hovnanian Enterprises Inc.,61125,272.35,7/27/2010 0:00
241329118,A.G. Edwards Inc.,61137,0,7/31/2010 0:00
447838374,Banta Corporation,61139,0,7/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61140,0,7/31/2010 0:00
585596396,Entergy Corporation,61145,1365,8/3/2010 0:00
632549316,Applera Corporation,61156,525,8/13/2010 0:00
561426470,"Dollar Tree Stores, Inc.",61169,1785,8/23/2010 0:00
484516354,Apache Corporation,61194,155,8/31/2010 0:00
241329118,A.G. Edwards Inc.,61196,0,8/31/2010 0:00
447838374,Banta Corporation,61198,0,8/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61199,0,8/31/2010 0:00
216075826,"Analog Devices, Inc.",61219,1146.5,9/8/2010 0:00
224992687,Felcor Lodging Trust Inc.,61226,185,9/13/2010 0:00
220150667,Ferro Corp.,61228,815,9/14/2010 0:00
548351086,"Anheuser-Busch Companies, Inc.",61229,2325.48,9/14/2010 0:00
316784547,Dollar General Corporation,61235,695,9/15/2010 0:00
484516354,Apache Corporation,61238,845,9/15/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",61248,50,9/20/2010 0:00
241329118,A.G. Edwards Inc.,61290,0,9/30/2010 0:00
447838374,Banta Corporation,61291,0,9/30/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61292,0,9/30/2010 0:00
301703542,H.J. Heinz Company,61297,1485,10/4/2010 0:00
655337917,J.B. Hunt Transport Services Inc.,61301,235,10/5/2010 0:00
475283133,Safeco Corp,61312,350.35,10/8/2010 0:00
36436090,Damian Reyes,61313,263.2,10/8/2010 0:00
73615687,Pulte Homes Inc,61326,100,10/13/2010 0:00
463821008,Eastman Kodak Company,61328,225,10/13/2010 0:00
241329118,A.G. Edwards Inc.,61385,0,10/31/2010 0:00
447838374,Banta Corporation,61386,0,10/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61387,0,10/31/2010 0:00
17318549,Unisource Energy Corp,61395,285,11/8/2010 0:00
189092975,Navistar International Corporation,61412,390,11/19/2010 0:00
301703542,H.J. Heinz Company,61425,695,11/30/2010 0:00
241329118,A.G. Edwards Inc.,61426,0,11/30/2010 0:00
447838374,Banta Corporation,61427,0,11/30/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61428,0,11/30/2010 0:00
515648396,Michaela Calderon,61436,125,12/8/2010 0:00
343825874,Scotts Company,61446,155,12/13/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",61447,50,12/14/2010 0:00
424707325,Hovnanian Enterprises Inc.,61448,595,12/14/2010 0:00
241329118,A.G. Edwards Inc.,61467,0,12/31/2010 0:00
447838374,Banta Corporation,61468,0,12/31/2010 0:00
518748951,"BJ's Wholesale Club, Inc.",61469,0,12/31/2010 0:00
109121390,"D&K Healthcare Resources, Inc.",61473,75,1/3/2011 0:00
463821008,Eastman Kodak Company,61477,2650,1/4/2011 0:00
390601150,Olin Corp.,61479,595,1/4/2011 0:00
317523302,AnnTaylor Inc.,61490,925,1/7/2011 0:00
463821008,Eastman Kodak Company,61507,305,1/15/2011 0:00
484516354,Apache Corporation,61533,55,1/21/2011 0:00
317523302,AnnTaylor Inc.,61541,25,1/24/2011 0:00
544462001,First American Financial Corp.,61575,895,1/31/2011 0:00
241329118,A.G. Edwards Inc.,61576,0,1/31/2011 0:00
447838374,Banta Corporation,61577,0,1/31/2011 0:00
518748951,"BJ's Wholesale Club, Inc.",61578,0,1/31/2011 0:00
52988469,"Arrow Electronics, Inc.",61579,845,2/4/2011 0:00
36806251,Camron Solis,61585,95,2/4/2011 0:00
42347513,Federated Department Stores Inc.,61590,1095,2/7/2011 0:00
177570422,Home Depot Inc.,61591,295,2/7/2011 0:00
223178139,Hewlett-Packard Company,61619,230,2/3/2011 0:00
337549449,Sempra Energy,61679,195,2/17/2011 0:00
177570422,Home Depot Inc.,61689,295,2/18/2011 0:00
263350773,Braiden Dominguez,61716,100,2/22/2011 0:00
401528760,Weyerhauser Company,61718,145,2/22/2011 0:00
333035009,Ecolab Inc.,61752,865,2/28/2011 0:00
241329118,A.G. Edwards Inc.,61759,0,2/28/2011 0:00
447838374,Banta Corporation,61760,0,2/28/2011 0:00
518748951,"BJ's Wholesale Club, Inc.",61761,0,2/28/2011 0:00
515648396,Michaela Calderon,61791,225,3/8/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",61793,725,3/8/2011 0:00
555339793,Coventry Health Care Inc.,61799,640,3/9/2011 0:00
320105871,"AutoZone, Inc.",61813,1445,3/10/2011 0:00
238833484,BJ Services Company,61842,900,3/14/2011 0:00
38113742,Sprint Corp.,61921,295,3/23/2011 0:00
519456717,Kymani Diaz,61957,310,3/28/2011 0:00
141006428,D.R. Horton Inc.,62055,1300,4/7/2011 0:00
463821008,Eastman Kodak Company,62057,195,4/7/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62060,50,4/7/2011 0:00
368066999,Guidant Corporation,62063,295,4/8/2011 0:00
224376880,SunGard Data Systems Inc.,62076,255,4/8/2011 0:00
52988469,"Arrow Electronics, Inc.",62135,60,4/18/2011 0:00
463821008,Eastman Kodak Company,62143,225,4/20/2011 0:00
343825874,Scotts Company,62147,75,4/20/2011 0:00
424707325,Hovnanian Enterprises Inc.,62155,305,4/25/2011 0:00
484516354,Apache Corporation,62170,60,4/29/2011 0:00
216075826,"Analog Devices, Inc.",62172,50,4/29/2011 0:00
52988469,"Arrow Electronics, Inc.",62178,55,4/29/2011 0:00
320105871,"AutoZone, Inc.",62182,60,4/29/2011 0:00
555339793,Coventry Health Care Inc.,62205,60,4/29/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62206,60,4/29/2011 0:00
561426470,"Dollar Tree Stores, Inc.",62216,60,4/29/2011 0:00
42347513,Federated Department Stores Inc.,62219,60,4/29/2011 0:00
241329118,A.G. Edwards Inc.,62222,0,4/30/2011 0:00
447838374,Banta Corporation,62223,0,4/30/2011 0:00
238833484,BJ Services Company,62224,0,4/30/2011 0:00
518748951,"BJ's Wholesale Club, Inc.",62225,0,4/30/2011 0:00
42347513,Federated Department Stores Inc.,62228,80,5/3/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62236,50,5/13/2011 0:00
555339793,Coventry Health Care Inc.,62248,160,5/18/2011 0:00
555339793,Coventry Health Care Inc.,62255,160,5/23/2011 0:00
555339793,Coventry Health Care Inc.,62265,160,5/31/2011 0:00
241329118,A.G. Edwards Inc.,62268,0,5/31/2011 0:00
447838374,Banta Corporation,62269,0,5/31/2011 0:00
238833484,BJ Services Company,62270,0,5/31/2011 0:00
518748951,"BJ's Wholesale Club, Inc.",62271,0,5/31/2011 0:00
637841996,E.W. Scripps Company,62272,480,6/1/2011 0:00
423380608,Consolidated Freightways Corp.,62273,1450,6/1/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62275,50,6/6/2011 0:00
555339793,Coventry Health Care Inc.,62289,160,6/17/2011 0:00
320105871,"AutoZone, Inc.",62301,1050,6/24/2011 0:00
637841996,E.W. Scripps Company,62304,1675,6/28/2011 0:00
241329118,A.G. Edwards Inc.,62309,0,6/30/2011 0:00
447838374,Banta Corporation,62310,0,6/30/2011 0:00
238833484,BJ Services Company,62311,0,6/30/2011 0:00
518748951,"BJ's Wholesale Club, Inc.",62312,0,6/30/2011 0:00
561426470,"Dollar Tree Stores, Inc.",62332,335,7/11/2011 0:00
561426470,"Dollar Tree Stores, Inc.",62333,2020,7/11/2011 0:00
561426470,"Dollar Tree Stores, Inc.",62334,3925,7/11/2011 0:00
45005285,Smith International Inc,62335,395,7/12/2011 0:00
52988469,"Arrow Electronics, Inc.",62341,60,7/12/2011 0:00
42347513,Federated Department Stores Inc.,62342,80,7/12/2011 0:00
463821008,Eastman Kodak Company,62349,225,7/14/2011 0:00
555339793,Coventry Health Care Inc.,62352,480,7/14/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62357,95,7/15/2011 0:00
144001594,"AutoNation, Inc.",62368,395,7/27/2011 0:00
144001594,"AutoNation, Inc.",62383,375,7/29/2011 0:00
144001594,"AutoNation, Inc.",62387,375,8/1/2011 0:00
507829789,Cincinnati Financial Corp.,62390,255,8/3/2011 0:00
144001594,"AutoNation, Inc.",62392,375,8/3/2011 0:00
144001594,"AutoNation, Inc.",62398,375,8/5/2011 0:00
157893822,Pride International Inc,62401,575,8/8/2011 0:00
555339793,Coventry Health Care Inc.,62403,1075,8/8/2011 0:00
637626070,Exelon Corporation,62405,6030,8/11/2011 0:00
637841996,E.W. Scripps Company,62406,480,8/11/2011 0:00
109121390,"D&K Healthcare Resources, Inc.",62408,50,8/11/2011 0:00
354886114,"Autoliv, Inc.",62413,1585,8/12/2011 0:00
5914585,Cooper Cameron Corp.,62415,2780,8/15/2011 0:00
680400945,Mattel Inc.,62421,255,8/17/2011 0:00
4024681,CSX Corp.,62426,275,8/19/2011 0:00
449916255,BB&T Corporation,62430,3125,8/23/2011 0:00
199155800,Cardinal Health Inc.,62436,95,8/29/2011 0:00
199155800,Cardinal Health Inc.,62440,95,8/30/2011 0:00
327519152,Bank One Corporation,62441,865,8/30/2011 0:00
449916255,BB&T Corporation,62442,665,8/31/2011 0:00
548351086,"Anheuser-Busch Companies, Inc.",62443,2345,8/31/2011 0:00
